"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sepsecs",0.537770882831009,-0.313458236660368,0.019,0.022,1
"Lonrf1",0.537978120608849,-0.116207249871917,0.025,0.029,1
"Tert",0.538239113394284,-0.233814899869327,0.021,0.024,1
"Bbs10",0.538340042235328,-0.325531068960943,0.013,0.016,1
"Gpr18",0.538453310648647,-0.287009136337966,0.103,0.11,1
"Dclk1",0.538567678691097,-0.26615252188201,0.04,0.045,1
"Nudt15",0.539092572572196,0.329219761917075,0.038,0.034,1
"Kif20a",0.539107733759938,-0.112708109080917,0.039,0.044,1
"Ap4m1",0.539114184251891,-0.108223936784277,0.055,0.061,1
"Fbxl22",0.539579969756691,-0.2641305242968,0.013,0.016,1
"Ntn1",0.539579969756691,-0.2641305242968,0.013,0.016,1
"Phf7",0.539579969756691,-0.2641305242968,0.013,0.016,1
"Pwwp2a",0.53981693196,-0.167651409179224,0.205,0.213,1
"Pld4",0.54041796801662,-0.225995395410028,0.013,0.016,1
"Nudt13",0.540450433035108,0.252767701479202,0.025,0.021,1
"Mthfsl",0.540468554491572,0.152516227843702,0.105,0.098,1
"Tmt1a",0.540786840615994,0.245625632235183,0.025,0.021,1
"Mtmr7",0.540807501967205,-0.225995395410028,0.019,0.022,1
"Coq6",0.540807501967205,-0.225995395410028,0.019,0.022,1
"Cdcp1",0.540811366231364,-0.270389514768482,0.017,0.02,1
"Slc30a6",0.540851992989473,-0.162032336678063,0.044,0.049,1
"Cd68",0.540920257265172,0.11765747063205,0.092,0.085,1
"Cpped1",0.540978578337027,0.189042103868815,0.042,0.037,1
"Iqgap3",0.54113878825082,0.331782275984898,0.021,0.017,1
"Gda",0.541152922958942,0.307686600367435,0.017,0.014,1
"Xiap",0.541163856909657,-0.147385560713662,0.093,0.1,1
"Phpt1",0.541352260685528,0.30007341625756,0.017,0.014,1
"Zxdb",0.541353107977523,0.110696052149074,0.184,0.175,1
"Jtb",0.54137921416069,0.118833101587413,0.211,0.202,1
"Fntb",0.541412964138569,-0.153644551185344,0.021,0.024,1
"C87436",0.541594813822267,-0.248363208438483,0.015,0.018,1
"Txlnb",0.541594813822267,-0.248363208438483,0.015,0.018,1
"Pcbp4",0.542209107660439,0.11276633658701,0.12,0.112,1
"Wdr46",0.542888425777519,-0.120813158717972,0.072,0.078,1
"Nipal3",0.54289037322017,0.118038732537252,0.208,0.2,1
"Arrdc2",0.543168442550775,0.267651938565182,0.021,0.017,1
"Evi2b",0.543168442550775,0.267651938565182,0.021,0.017,1
"Enpp1",0.544119920813635,0.154690599078039,0.072,0.065,1
"Hpse",0.54412931443195,-0.355278412354995,0.038,0.043,1
"Cdk5rap2",0.544740488196757,0.173775347215505,0.083,0.077,1
"Gas8",0.545411533058286,0.145415171468558,0.035,0.031,1
"Rdh12",0.545411533058286,0.145415171468558,0.035,0.031,1
"Grpel1",0.545490978599422,-0.131161310549086,0.24,0.248,1
"St6galnac4",0.545767018189065,0.107512218372217,0.177,0.167,1
"Fdxacb1",0.545882360464697,0.249259626702923,0.048,0.043,1
"Foxj2",0.545992511041722,0.154624506811454,0.178,0.17,1
"Ppme1",0.546044536254916,-0.119080191493516,0.159,0.168,1
"Alg12",0.546205410822203,0.229684088366162,0.064,0.058,1
