"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Smpdl3b",0.0421982599397474,-0.705252193370844,0.047,0.07,1
"Fhl2",0.042225549231305,-0.716711308745907,0.041,0.063,1
"Tet2",0.0422263301114104,-0.177216760734523,0.283,0.331,1
"Os9",0.0423118907522912,0.248785273631243,0.278,0.235,1
"Zyg11b",0.0423987250775517,-0.282646148514311,0.135,0.171,1
"Ddrgk1",0.0424606871075236,0.243507128185235,0.27,0.228,1
"Slc25a14",0.0424977338901924,0.879710307350313,0.032,0.017,1
"Peli1",0.0426948002640469,0.133929067810022,0.719,0.669,1
"Clcn4",0.042791857658324,-0.288725075951513,0.165,0.203,1
"Slc2a1",0.0428901336615575,-0.325076881628818,0.27,0.312,1
"Nxpe3",0.042936986805733,-0.153318493037158,0.161,0.201,1
"Nck1",0.0429383557162324,-0.302046454449347,0.179,0.218,1
"Map2k3",0.0429616975816437,0.144375454148609,0.655,0.625,1
"Ctsc",0.0429740321934297,-0.288617656641617,0.223,0.266,1
"B3gnt9",0.0430720747502787,1.32028289873629,0.015,0.006,1
"Setdb1",0.0431829285756422,0.460213159880769,0.139,0.108,1
"Fbxo42",0.0432294845259019,-0.397382139470976,0.106,0.138,1
"Atxn3",0.0432838404034182,0.347763635158401,0.187,0.151,1
"Cd14",0.0433928501467522,0.938603996403881,0.03,0.016,1
"Atrnl1",0.0433987786205312,0.370208124067977,0.083,0.058,1
"Fbxo5",0.0434980343375722,0.844331019933844,0.058,0.038,1
"Gpld1",0.043636442867016,0.896312274687443,0.03,0.016,1
"Zbtb38",0.0436758389778059,0.237145714533462,0.378,0.338,1
"Sema7a",0.0437208351894832,-0.500393401819144,0.116,0.147,1
"Siah3",0.0438486771426916,-1.15776439806835,0.003,0.011,1
"Usp48",0.0440572512343316,-0.315626594873946,0.193,0.23,1
"Ptar1",0.0442286827464701,-0.218033734017442,0.245,0.288,1
"Emsy",0.0442491995170238,-0.167323226493195,0.32,0.372,1
"Atrip",0.0442686701542018,-0.656633488150665,0.034,0.055,1
"Elovl5",0.0443111306234665,-0.193524715550221,0.549,0.574,1
"Mthfd1",0.0443113107878448,-0.448046866339247,0.091,0.121,1
"Gpt",0.0443135384681971,0.813977341890136,0.043,0.025,1
"Ubald1",0.0443265884627609,-0.36690938470504,0.127,0.161,1
"Alg11",0.0443514122747955,-0.551652062475411,0.047,0.07,1
"Ccdc174",0.0445196695938936,-0.256831740162177,0.186,0.226,1
"Abcd4",0.0445352454751649,-0.474003421073888,0.052,0.076,1
"Emc6",0.0445775177607329,-0.319821156177323,0.122,0.157,1
"Prdm11",0.0445857672843505,-0.471971455891659,0.058,0.083,1
"Rtl8b",0.044620419525431,0.642210993623657,0.059,0.039,1
"Melk",0.0449000721987797,0.717762026630833,0.043,0.025,1
"Tex10",0.0449065327165803,-0.357383242053352,0.157,0.193,1
"Avl9",0.0451512112584978,-0.315710074508322,0.155,0.192,1
"Tmed4",0.0452514618880834,-0.536396250918457,0.094,0.123,1
"Fbxo4",0.0452538394498798,-0.402876895904882,0.098,0.128,1
"Cetn3",0.0452777100998445,-0.248147878094974,0.187,0.228,1
"Tns1",0.0452958935236492,1.24311503821383,0.017,0.007,1
"Ier3ip1",0.0453621983944954,-0.287399678484946,0.224,0.263,1
"Mest",0.045417324798743,-2.31530567505483,0.007,0.018,1
"Lamtor4",0.045422037525098,-0.410018965148901,0.078,0.107,1
"Ak2",0.0455752022623842,-0.252393228657032,0.252,0.293,1
"Edaradd",0.0456326923174702,1.07319003677152,0.017,0.007,1
"Degs1",0.0457366129313996,-0.261147911014609,0.406,0.436,1
"Brix1",0.045916053555242,-0.426951030883739,0.122,0.155,1
"Rpa2",0.0459298288964827,-0.319045305101411,0.102,0.134,1
"Strn",0.045933810920661,-0.27761865769236,0.133,0.169,1
"Pcyox1l",0.0459966038185749,-1.26467960198486,0.007,0.018,1
"Runx1",0.046077024558528,0.22074722518538,0.231,0.191,1
"Per2",0.0461301710490167,-1.19429027409346,0.007,0.018,1
"Gprasp2",0.0461301710490167,-1.19429027409346,0.007,0.018,1
"Snrnp27",0.0461400384237053,-0.273770338055719,0.14,0.177,1
"Ctnna1",0.0461698243837347,0.236739257953281,0.287,0.246,1
"Ofd1",0.0462677547134551,-0.569217559998155,0.04,0.061,1
"Igip",0.0463032232453864,-0.404857260033122,0.062,0.088,1
"Metrnl",0.0464757688069044,0.20788507424833,0.276,0.232,1
"Msrb2",0.0465549028624923,1.27964091423895,0.018,0.008,1
"Il16",0.0466122470043447,0.173599276828624,0.486,0.435,1
"Zcchc10",0.04680084731032,-0.417431952803745,0.069,0.095,1
"Bptf",0.0468428277049945,-0.285844211982904,0.279,0.316,1
"Nme2",0.04693214765322,-0.400741151560891,0.147,0.181,1
"Atp6v0b",0.0469450905695821,-0.255280903982612,0.209,0.25,1
"Usp25",0.0469482421595516,0.151578785720633,0.651,0.623,1
"Dtymk",0.0471195172047307,0.350030242130346,0.198,0.163,1
